id;id_ra;cod_natureza;mes;ano;quantidade
743;1;4;11;2023;0
744;1;4;12;2023;0
745;1;31;1;2023;0
746;1;31;2;2023;0
747;1;31;3;2023;0
748;1;31;4;2023;1
749;1;31;5;2023;0
750;1;31;6;2023;1
751;1;31;7;2023;1
752;1;31;8;2023;0
753;1;31;9;2023;0
754;1;31;10;2023;0
755;1;31;11;2023;0
756;1;31;12;2023;0
757;1;6;1;2023;0
758;1;6;2;2023;1
759;1;6;3;2023;0
760;1;6;4;2023;0
761;1;6;5;2023;0
762;1;6;6;2023;0
763;1;6;7;2023;1
764;1;6;8;2023;0
765;1;6;9;2023;0
766;1;6;10;2023;1
767;1;6;11;2023;0
768;1;6;12;2023;0
769;1;13;1;2023;0
770;1;13;2;2023;0
771;1;13;3;2023;0
772;1;13;4;2023;0
773;1;13;5;2023;1
774;1;13;6;2023;0
775;1;13;7;2023;0
776;1;13;8;2023;3
777;1;13;9;2023;1
778;1;13;10;2023;1
779;1;13;11;2023;1
780;1;13;12;2023;1
781;1;19;1;2023;1
782;1;19;2;2023;1
783;1;19;3;2023;0
784;1;19;4;2023;0
785;1;19;5;2023;0
786;1;19;6;2023;0
787;1;19;7;2023;0
788;1;19;8;2023;1
789;1;19;9;2023;0
790;1;19;10;2023;0
791;1;19;11;2023;0
792;1;19;12;2023;0
793;1;11;1;2023;6
794;1;11;2;2023;2
795;1;11;3;2023;3
796;1;11;4;2023;1
797;1;11;5;2023;1
798;1;11;6;2023;2
799;1;11;7;2023;3
800;1;11;8;2023;7
801;1;11;9;2023;3
802;1;11;10;2023;1
